No	キーワード	SEO難易度	月間検索数	判定	検索意図	元トピック	ページID	ターゲットURL	ページタイトル案	振り分け理由
180	仲介手数料 700万以下	N/A	0	削除						
181	仲介手数料 70万	N/A	0	削除						
182	仲介手数料 7	N/A	0	削除						
183	7000万 仲介手数料	N/A	0	削除						
184	700万円以下 仲介手数料	N/A	0	削除						
185	750万円 仲介手数料	N/A	0	削除						
186	780万円 仲介手数料	N/A	0	削除						
187	仲介手数料 800万円以下	25	720	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
188	仲介手数料 800万円以下 改正	24	210	記事	Know（法改正が自分に影響するか知りたい）	法改正解説	article-13	/tools/brokerage/reform-2024	2024年仲介手数料の法改正	トピック「法改正解説」
189	仲介手数料 800万円	N/A	0	削除						
190	仲介手数料 8万	47	10	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
191	仲介手数料 800万円以下 土地	N/A	0	削除						
192	仲介手数料 800	N/A	0	削除						
193	仲介手数料 800万円以下 改正 土地	44	0	削除						
194	仲介手数料 800万円以下 改正 いつから	43	70	記事	Know（法改正が自分に影響するか知りたい）	法改正解説	article-13	/tools/brokerage/reform-2024	2024年仲介手数料の法改正	トピック「法改正解説」
195	仲介手数料 800万以上	N/A	0	削除						
196	仲介手数料 800万円以下 改正 国土交通省	34	90	記事	Know（法改正が自分に影響するか知りたい）	法改正解説	article-13	/tools/brokerage/reform-2024	2024年仲介手数料の法改正	トピック「法改正解説」
197	仲介手数料 9万	27	0	削除						
198	仲介手数料 9800円	22	10	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
199	仲介手数料 900万円	29	0	削除						
200	仲介手数料 900万円以下	N/A	0	削除						
201	仲介手数料 90	N/A	0	削除						
202	仲介手数料 90万円	N/A	0	削除						
203	980万円 仲介手数料	N/A	20	計算ページ	Do（正確な金額を計算したい）	金額早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
204	9000万円 仲介手数料	25	0	削除						
205	950万 仲介手数料	N/A	0	削除						
206	仲介手数料 ad	43	30	記事	Know（業界の仕組み・慣習を知りたい）	業界の仕組み	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「業界の仕組み」
207	仲介手数料 アパマンショップ	34	1900	削除		ブランドKW				ブランドKW
208	仲介手数料 相見積もり	26	20	記事	Do（請求された手数料が正しいか確認したい）	確認方法	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「確認方法」
209	仲介手数料 按分	33	20	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	その他 → article-09に振り分け
210	仲介手数料 アエラス	N/A	0	削除						
211	仲介手数料 ad 違い	29	10	記事	Know（業界の仕組み・慣習を知りたい）	業界の仕組み	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「業界の仕組み」
212	仲介手数料 預り金	N/A	0	削除						
213	仲介手数料 アパート	35	210	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
214	仲介手数料 空き家	22	40	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
215	仲介手数料 アパート 相場	27	210	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
216	仲介手数料 いくら	30	320	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
217	仲介手数料 いつ払う	24	170	記事	Know（いつ・どう払うのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
218	仲介手数料 印紙代	N/A	70	記事	Know（契約・書類の手続きを知りたい）	契約・書類	article-15	/tools/brokerage/documents	仲介手数料の契約書・印紙・手付金	トピック「契約・書類」
219	仲介手数料 印紙	29	90	記事	Know（契約・書類の手続きを知りたい）	契約・書類	article-15	/tools/brokerage/documents	仲介手数料の契約書・印紙・手付金	トピック「契約・書類」
220	仲介手数料 いくらくらい	44	20	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
221	仲介手数料 一ヶ月以上	44	30	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	その他 → article-04に振り分け
222	仲介手数料 一ヶ月	34	70	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	その他 → article-04に振り分け
223	仲介手数料 いつ払う 賃貸	29	30	記事	Know（賃貸の手数料ルールを知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
224	仲介手数料 いくらまで	44	90	記事	Know（いくら払うのか相場を知りたい）	相場ガイド	article-01	/tools/brokerage/market-rate	仲介手数料の相場【物件タイプ別】	トピック「相場ガイド」
225	仲介手数料 一括損金	N/A	0	削除						
226	仲介手数料 売主	28	170	記事	Know（売主・買主どちらが負担するか知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
227	仲介手数料 売り手 買い手	31	20	記事	Know（売主・買主どちらが負担するか知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
228	仲介手数料 内訳	44	40	記事	Know（手数料の内訳が知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
229	仲介手数料 売上計上時期	22	20	記事	Know（計上時期・損金処理を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
230	仲介手数料 売主 買主	48	20	記事	Know（売主・買主どちらが負担するか知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
231	仲介手数料 上乗せ	N/A	0	削除						
232	仲介手数料 うざい	N/A	0	削除						
233	仲介手数料 売主 買主 両方	30	140	記事	Know（売主・買主どちらが負担するか知りたい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
234	仲介手数料 売る側	44	0	削除						
235	仲介手数料 受取手数料	33	0	削除						
236	仲介手数料 英語で	46	30	削除		翻訳KW				翻訳KW
237	仲介手数料 エイブル	34	1900	削除		ブランドKW				ブランドKW
238	仲介手数料 エリッツ	34	0	削除						
239	仲介手数料 益金算入時期	22	0	削除						
240	仲介手数料 覚書 印紙	N/A	0	削除						
241	仲介手数料 オーナー負担	45	20	記事	Know（誰が負担するのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
242	仲介手数料 抑える方法	N/A	10	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
243	仲介手数料 抑えたい	N/A	10	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
244	仲介手数料 表	43	20	計算ページ	Do（正確な金額を計算したい）	早見表	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
245	仲介手数料 オープンハウス	30	0	削除						
246	仲介手数料 覚書	27	10	記事	Know（契約・書類の手続きを知りたい）	契約・書類	article-15	/tools/brokerage/documents	仲介手数料の契約書・印紙・手付金	トピック「契約・書類」
247	仲介手数料 大家から	28	10	記事	Know（誰が負担するのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
248	仲介手数料 オフィス	N/A	10	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
249	仲介手数料 大家負担	42	10	記事	Know（誰が負担するのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
250	仲介手数料 管理費含む	29	40	記事	Know（手数料の計算ルールを知りたい）	賃料・管理費関連	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃料・管理費関連」
251	仲介手数料 科目	N/A	140	記事	Do（仕訳・勘定科目を調べたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
252	仲介手数料 借主100	28	50	記事	Know（誰が負担するのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
253	仲介手数料 下限	45	90	記事	Know（手数料の上下限を知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
254	仲介手数料 管理費	25	90	記事	Know（手数料の計算ルールを知りたい）	賃料・管理費関連	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃料・管理費関連」
255	仲介手数料 会計処理	33	20	記事	Do（仕訳・勘定科目を調べたい）	その他（要確認）	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	その他 → article-09に振り分け
256	仲介手数料 かからない方法	46	70	記事	Do（手数料を払わずに済ませたい）	節約・回避	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「節約・回避」
257	仲介手数料 管理費込み	N/A	0	削除						
258	仲介手数料 共益費	25	110	記事	Know（手数料の計算ルールを知りたい）	賃料・管理費関連	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃料・管理費関連」
259	仲介手数料 記載なし	26	20	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
260	仲介手数料 共益費含む	30	40	記事	Know（手数料の計算ルールを知りたい）	賃料・管理費関連	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃料・管理費関連」
261	仲介手数料 キャッシュバック	19	20	記事	Buy（手数料を安くする方法を探したい）	安くする方法	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「安くする方法」
262	仲介手数料 金額別	N/A	0	削除						
263	仲介手数料 規定	31	30	記事	Know（仲介手数料の仕組みを理解したい）	基礎解説（guide強化）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「基礎解説（guide強化）」
264	仲介手数料 決まり	30	30	記事	Know（仲介手数料の仕組みを理解したい）	基礎解説（guide強化）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「基礎解説（guide強化）」
265	仲介手数料 キャンペーン	24	50	記事	Know（支払い方法の選択肢を知りたい）	その他（要確認）	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	その他 → article-08に振り分け
266	仲介手数料 共益費込み	N/A	10	記事	Know（手数料の計算ルールを知りたい）	賃料・管理費関連	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃料・管理費関連」
267	仲介手数料 拒否	44	10	記事	Do（手数料を払わずに済ませたい）	節約・回避	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「節約・回避」
268	仲介手数料 繰延資産	28	90	記事	Know（資産計上の方法を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
269	仲介手数料 クレジットカード	27	30	記事	Know（支払い方法の選択肢を知りたい）	その他（要確認）	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	その他 → article-12に振り分け
270	仲介手数料 クレジット払い	N/A	0	削除						
271	仲介手数料 クレーム	32	10	記事	Know（請求された金額が違法でないか確認したい）	その他（要確認）	article-07	/tools/brokerage/law	仲介手数料の上限と法律	その他 → article-07に振り分け
272	仲介手数料 車	22	0	削除						
273	仲介手数料 区分	50	0	削除						
274	仲介手数料 繰延	N/A	0	削除						
275	仲介手数料 クーポン	N/A	0	削除						
276	仲介手数料 クーリングオフ	25	0	削除						
277	仲介手数料 クリーニング代	30	0	削除						
278	仲介手数料 経費	28	140	記事	Know（経費にできるか知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
279	仲介手数料 計上時期	24	30	記事	Know（計上時期・損金処理を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
280	仲介手数料 契約書	47	50	記事	Know（契約・書類の手続きを知りたい）	契約・書類	article-15	/tools/brokerage/documents	仲介手数料の契約書・印紙・手付金	トピック「契約・書類」
281	仲介手数料 経費 個人事業主	53	50	記事	Know（経費にできるか知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
282	仲介手数料 戸建て	40	70	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
283	仲介手数料 国土交通省	44	50	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
284	仲介手数料 告示	N/A	0	削除						
285	仲介手数料 交渉 不動産	46	0	削除						
286	仲介手数料 国税庁	65	10	記事	Know（税金の扱いを知りたい）	税金関連	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「税金関連」
287	仲介手数料 最低金額	28	140	記事	Know（手数料の上下限を知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
288	仲介手数料 最大	46	70	記事	Know（手数料の上下限を知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
289	仲介手数料 33万円 条件	N/A	0	削除						
290	仲介手数料 先払い	30	40	記事	Know（いつ・どう払うのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
291	仲介手数料 裁判	43	10	記事	Know（請求された金額が違法でないか確認したい）	その他（要確認）	article-07	/tools/brokerage/law	仲介手数料の上限と法律	その他 → article-07に振り分け
292	仲介手数料 下げる	45	20	記事	Do（手数料を値引き交渉したい）	交渉ガイド	article-06	/tools/brokerage/negotiation	仲介手数料の値引き交渉術【実体験】	トピック「交渉ガイド」
293	仲介手数料 支払調書	N/A	70	記事	Do（書類・帳票を作成したい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
294	仲介手数料 取得価額	22	170	記事	Know（資産計上の方法を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
295	仲介手数料 仕訳	34	210	記事	Do（仕訳・勘定科目を調べたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
296	仲介手数料 取得費	27	50	記事	Know（資産計上の方法を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
297	仲介手数料 支払い時期	43	50	記事	Know（いつ・どう払うのかわからない）	その他（要確認）	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	その他 → article-12に振り分け
298	仲介手数料 資産計上	29	70	記事	Know（資産計上の方法を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
299	仲介手数料 シミュレーション	32	70	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
300	仲介手数料 取得価格	24	20	記事	Know（資産計上の方法を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
301	仲介手数料 suumo	42	20	削除		ブランドKW				ブランドKW
302	仲介手数料 住友不動産	30	0	削除						
303	仲介手数料 少ない 不動産	45	40	記事	Know（不動産取引の手数料全体を知りたい）	不動産関連	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「不動産関連」
304	仲介手数料 少ない	N/A	0	削除						
305	仲介手数料 住み替え	N/A	10	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	その他 → article-10に振り分け
306	仲介手数料 住友不動産販売	N/A	10	削除		ブランドKW				ブランドKW
307	不動産売却 仲介手数料 住まいソリューション サイト	26	0	削除						
308	不動産売却 仲介手数料 住まいソリューション相談	25	0	削除						
309	不動産 仲介手数料 suumo	N/A	0	削除						
310	不動産売却 仲介手数料 住まいソリューション	26	0	削除						
311	仲介手数料 正規	26	30	記事	Know（手数料の内訳が知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
312	仲介手数料 請求書	32	170	記事	Do（書類・帳票を作成したい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
313	仲介手数料 折半	28	40	記事	Know（業界の仕組み・慣習を知りたい）	仕組み解説	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「仕組み解説」
314	仲介手数料 請求書 テンプレート	45	50	記事	Do（書類・帳票を作成したい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
315	仲介手数料 成功報酬	29	10	記事	Know（支払い条件を確認したい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
316	仲介手数料 センチュリー21	24	320	削除		ブランドKW				ブランドKW
317	仲介手数料 制限	N/A	0	削除						
318	仲介手数料 請求書 ひな形	N/A	30	記事	Do（書類・帳票を作成したい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
319	仲介手数料 生活保護	26	10	記事	Know（特殊なケースの手数料を知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
320	仲介手数料 正規手数料	N/A	0	削除						
321	仲介手数料 損金	30	20	記事	Know（計上時期・損金処理を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
322	仲介手数料 損金算入時期	23	20	記事	Know（計上時期・損金処理を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
323	仲介手数料 速算式	25	90	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
324	仲介手数料 高い	36	210	記事	Do（高すぎる手数料に対処したい）	高い場合の対処	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「高い場合の対処」
325	仲介手数料 宅建業法	29	480	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
326	仲介手数料 高すぎる	36	110	記事	Do（高すぎる手数料に対処したい）	高い場合の対処	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「高い場合の対処」
327	仲介手数料 誰が払う	42	70	記事	Know（誰が負担するのかわからない）	支払い・負担者	article-12	/tools/brokerage/payment	仲介手数料はいつ誰が払う？	トピック「支払い・負担者」
328	仲介手数料 建物消費税	28	70	記事	Know（消費税がかかるか確認したい）	消費税解説	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「消費税解説」
329	仲介手数料 宅建業法違反	N/A	0	削除						
330	仲介手数料 宅建	26	210	記事	Know（法律上の上限ルールを確認したい）	法律・規制	article-07	/tools/brokerage/law	仲介手数料の上限と法律	トピック「法律・規制」
331	仲介手数料 高い 不動産	43	30	記事	Know（不動産取引の手数料全体を知りたい）	不動産関連	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「不動産関連」
332	仲介手数料 建物	50	20	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	その他 → article-10に振り分け
333	仲介手数料 建売	34	390	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
334	仲介手数料 中古マンション	34	1000	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
335	仲介手数料 長期前払費用	N/A	0	削除						
336	仲介手数料 駐車場代	26	70	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
337	仲介手数料 駐車場	34	590	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
338	仲介手数料 中古住宅	26	320	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
339	仲介手数料 月極駐車場	41	0	削除						
340	仲介手数料 常口アトム	25	0	削除						
341	仲介手数料 仕入税額控除	24	10	記事	Know（税金の扱いを知りたい）	税金関連	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「税金関連」
342	仲介手数料 通常	46	0	削除						
343	仲介手数料 月々	N/A	0	削除						
344	仲介手数料 月	45	0	削除						
345	仲介手数料 通達	N/A	0	削除						
346	仲介手数料 仕入	32	0	削除						
347	仲介手数料 通関	19	0	削除						
348	居住用賃貸建物 仲介手数料 仕入税額控除	32	20	記事	Know（税金の扱いを知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
349	仲介手数料 低廉な空き家	34	50	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
350	仲介手数料 定額	27	50	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	その他 → article-14に振り分け
351	仲介手数料 低廉	40	30	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-13	/tools/brokerage/reform-2024	2024年仲介手数料の法改正	その他 → article-13に振り分け
352	仲介手数料 手付金	33	50	記事	Know（契約・書類の手続きを知りたい）	契約・書類	article-15	/tools/brokerage/documents	仲介手数料の契約書・印紙・手付金	トピック「契約・書類」
353	仲介手数料 手付解除	27	20	記事	Know（契約・書類の手続きを知りたい）	契約・書類	article-15	/tools/brokerage/documents	仲介手数料の契約書・印紙・手付金	トピック「契約・書類」
354	仲介手数料 手数料	N/A	10	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
355	仲介手数料 店舗	N/A	10	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
356	仲介手数料 低額	44	0	削除						
357	仲介手数料 定義	45	10	記事	Know（仲介手数料の仕組みを理解したい）	基礎解説（guide強化）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「基礎解説（guide強化）」
358	仲介手数料 低廉 800万円	29	0	削除						
359	仲介手数料 とは	28	2400	記事	Know（仲介手数料の仕組みを理解したい）	基礎解説（guide強化）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「基礎解説（guide強化）」
360	仲介手数料 土地	39	260	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
361	仲介手数料 特例	44	40	記事	Know（法改正が自分に影響するか知りたい）	その他（要確認）	article-13	/tools/brokerage/reform-2024	2024年仲介手数料の法改正	その他 → article-13に振り分け
362	仲介手数料 土地 計算	30	70	計算ページ	Do（正確な金額を計算したい）	（計算ページ）	pillar	/tools/brokerage	仲介手数料シミュレーター【2026最新】	計算ページ → ピラー
363	仲介手数料 東急リバブル	37	20	削除		ブランドKW				ブランドKW
364	仲介手数料 土地 消費税	27	30	記事	Know（消費税がかかるか確認したい）	消費税解説	article-11	/tools/brokerage/tax	仲介手数料の消費税・税金	トピック「消費税解説」
365	仲介手数料 土地建物 按分	28	40	記事	Know（自分の物件タイプの手数料を知りたい）	物件タイプ別	article-10	/tools/brokerage/property-type	物件タイプ別の仲介手数料	トピック「物件タイプ別」
366	仲介手数料 土地 取得価額	22	20	記事	Know（資産計上の方法を知りたい）	会計処理	article-09	/tools/brokerage/accounting	仲介手数料の勘定科目・仕訳・経費処理	トピック「会計処理」
367	仲介手数料 当方不払い	N/A	0	削除						
368	仲介手数料 土地購入	39	320	記事	Know（購入時の手数料を把握したい）	売買特化	article-05	/tools/brokerage/purchase	売買の仲介手数料ガイド	トピック「売買特化」
369	仲介手数料 なし 賃貸	25	590	記事	Know（賃貸で手数料を安くする方法を知りたい）	賃貸特化	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	トピック「賃貸特化」
370	仲介手数料 なし	35	480	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
371	仲介手数料 何パーセント	43	90	記事	Know（手数料の計算ルールを知りたい）	費用の内訳	article-14	/tools/brokerage/breakdown	仲介手数料の内訳と料率	トピック「費用の内訳」
372	仲介手数料 なし 不動産	34	480	記事	Know（無料の不動産会社を探したい）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
373	仲介手数料 なくすには	48	40	記事	Do（手数料を払わずに済ませたい）	節約・回避	article-08	/tools/brokerage/discount	仲介手数料が安い不動産会社の選び方	トピック「節約・回避」
374	仲介手数料 何ヶ月分	45	40	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-04	/tools/brokerage/rental	賃貸の仲介手数料ガイド	その他 → article-04に振り分け
375	仲介手数料 なしにする方法	28	110	記事	Know（無料の裏側・デメリットが不安）	無料の仕組み	article-02	/tools/brokerage/free	仲介手数料が無料のからくりとデメリット	トピック「無料の仕組み」
376	仲介手数料 なぜ	N/A	10	記事	Know（手数料の計算ルールを知りたい）	その他（要確認）	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	その他 → article-03に振り分け
377	仲介手数料 なんj	23	0	削除						
378	仲介手数料 何回払う	44	0	削除						
379	仲介手数料 二重取り	20	30	記事	Know（業界の仕組み・慣習を知りたい）	仕組み解説	article-03	/tools/brokerage/about	仲介手数料とは？仕組みを分かりやすく解説	トピック「仕組み解説」
