No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	狙い目	要確認	ページグループ	想定記事タイトル	カテゴリ
144	＋α	不動産投資 20代	32	210	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎		年収別ガイド	不動産投資は年収いくらから？属性別の戦略	属性別の始め方
145	＋α	不動産投資 200万	42	30	体験記事	Know（必要な資金を知りたい）	体験談	必要資金			必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
146	＋α	不動産投資 2026	N/A	0	削除			検索なし	◎				
147	＋α	不動産投資 2棟目	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
148	＋α	不動産投資 2ldk	40	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
149	＋α	不動産投資 2ch	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
150	＋α	不動産投資 20代 体験談	28	20	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎		年収別ガイド	不動産投資は年収いくらから？属性別の戦略	属性別の始め方
151	＋α	不動産投資 2軒目	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
152	＋α	不動産投資 2000万円	N/A	30	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
153	＋α	不動産投資 2025	36	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
154	＋α	不動産投資 300万	N/A	40	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
155	＋α	不動産投資 3件目	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
156	＋α	不動産投資 3ldk	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
157	＋α	不動産投資 3億	N/A	10	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
158	＋α	不動産投資 35年後	N/A	10	解説記事	Know（時期・期間を知りたい）	実践ガイド	時期・タイミング	◎		投資期間	不動産投資の回収期間｜何年で元が取れる？	始め方ガイド
159	＋α	不動産投資 3000万円	N/A	20	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
160	＋α	不動産投資 35年ローン	55	30	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験			ローン基礎	不動産投資ローンとは？仕組み・おすすめ銀行・選び方	融資・ローン体験
161	＋α	不動産投資 30代	31	70	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎		年収別ガイド	不動産投資は年収いくらから？属性別の戦略	属性別の始め方
162	＋α	不動産投資 40代	30	40	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎		年収別ガイド	不動産投資は年収いくらから？属性別の戦略	属性別の始め方
163	＋α	不動産投資 400万	N/A	10	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
164	＋α	不動産投資 4000万	N/A	10	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
165	＋α	不動産投資 45年ローン	28	10	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン基礎	不動産投資ローンとは？仕組み・おすすめ銀行・選び方	融資・ローン体験
166	＋α	不動産投資 4件	N/A	0	削除			検索なし	◎				
167	＋α	不動産投資 40年ローン	N/A	0	削除			検索なし	◎				
168	＋α	不動産投資 4	N/A	0	削除			検索なし	◎				
169	＋α	不動産投資 利回り 4	N/A	10	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
170	＋α	40歳 不動産投資	46	0	削除			検索なし					
171	＋α	4億 不動産投資	40	0	削除			検索なし					
172	＋α	不動産投資 500万	27	70	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
173	＋α	不動産投資 5万円	31	20	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
174	＋α	不動産投資 50代	41	70	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別			年収別ガイド	不動産投資は年収いくらから？属性別の戦略	属性別の始め方
175	＋α	不動産投資 5年	N/A	10	解説記事	Know（時期・期間を知りたい）	実践ガイド	時期・タイミング	◎		投資期間	不動産投資の回収期間｜何年で元が取れる？	始め方ガイド
176	＋α	不動産投資 5棟10室	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
177	＋α	不動産投資 5年ルール	53	10	解説記事	Know（時期・期間を知りたい）	実践ガイド	時期・タイミング			投資期間	不動産投資の回収期間｜何年で元が取れる？	始め方ガイド
178	＋α	不動産投資 5ch	34	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
179	＋α	不動産投資 5億	N/A	10	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
180	＋α	不動産投資 5000万	N/A	30	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
181	＋α	不動産投資 5年で売却	N/A	0	削除			検索なし	◎				
182	＋α	不動産投資 60代	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
183	＋α	不動産投資 6000万円	37	0	削除			検索なし	◎				
184	＋α	不動産投資 600万	N/A	20	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
185	＋α	不動産投資 返済比率 60	27	30	解説記事	Know（具体的な数値を知りたい）	実践ガイド	具体例・数値	◎		返済比率	不動産投資の返済比率の目安｜理想は何%？	収支・利回り
186	＋α	不動産投資 利回り 6パーセント	30	0	削除			検索なし	◎				
187	＋α	不動産投資 利回り 6	29	10	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
188	＋α	60歳からの 不動産投資	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
189	＋α	60歳 不動産投資	29	0	削除			検索なし	◎				
190	＋α	不動産投資 7億円	N/A	10	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
191	＋α	不動産投資 700万	29	20	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
192	＋α	不動産投資 7	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
193	＋α	不動産投資 返済比率 70	25	20	解説記事	Know（具体的な数値を知りたい）	実践ガイド	具体例・数値	◎		返済比率	不動産投資の返済比率の目安｜理想は何%？	収支・利回り
194	＋α	不動産投資 利回り 7	N/A	10	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
195	＋α	7000万 不動産投資	N/A	0	削除			検索なし	◎				
196	＋α	70歳 不動産投資	33	0	削除			検索なし	◎				
197	＋α	不動産投資 8	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
198	＋α	不動産投資 800万	N/A	20	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
199	＋α	不動産投資 利回り 8	44	10	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支			利回り基礎	不動産投資の利回りとは？計算方法と目安を解説	収支・利回り
200	＋α	8000万円 不動産投資	N/A	0	削除			検索なし	◎				
201	＋α	9gates 不動産投資	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
202	＋α	不動産投資 アプリ	32	210	解説記事	Do（計算したい → ooya.techへ誘導）	ツール紹介	計算→ooya.tech誘導	◎		ツール紹介	不動産投資シミュレーションツール｜無料で使える計算ツール	ツール紹介
203	＋α	不動産投資 アパート	40	320	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び			アパート一棟投資	アパート一棟買い投資の体験談｜メリットと注意点	物件選び
204	＋α	不動産投資 青色申告	42	110	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金			確定申告	不動産投資の確定申告やり方ガイド｜初年度の体験談	税金・節税
205	＋α	不動産投資 頭金	39	140	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン頭金	不動産投資の頭金はいくら必要？フルローンは可能？	融資・ローン体験
206	＋α	不動産投資 amazonギフト券	23	210	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
207	＋α	不動産投資 アパート経営	N/A	70	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		アパート一棟投資	アパート一棟買い投資の体験談｜メリットと注意点	物件選び
208	＋α	不動産投資 ai	43	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
209	＋α	不動産投資 赤字 節税	33	30	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		節税基礎	不動産投資の節税・税金の基礎知識まとめ	税金・節税
210	＋α	不動産投資 赤字	N/A	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
211	＋α	不動産投資 青色申告 サラリーマン	49	30	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別			確定申告	不動産投資の確定申告やり方ガイド｜初年度の体験談	税金・節税
212	＋α	不動産投資 いくらから	33	390	解説記事	Know（相場・目安を知りたい）	実践ガイド	相場・目安	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
213	＋α	不動産投資 いくら必要	48	90	解説記事	Know（相場・目安を知りたい）	実践ガイド	相場・目安			必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
214	＋α	不動産投資 いくら儲かる	32	70	解説記事	Know（相場・目安を知りたい）	実践ガイド	相場・目安	◎		成功と現実	不動産投資は儲かる？成功率と儲かる人の特徴	始め方ガイド
215	＋α	不動産投資 一棟買い	N/A	70	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		アパート一棟投資	アパート一棟買い投資の体験談｜メリットと注意点	物件選び
216	＋α	不動産投資 irr 目安	24	40	解説記事	Know（相場・目安を知りたい）	実践ガイド	相場・目安	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
217	＋α	不動産投資 一軒家	N/A	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
218	＋α	不動産投資 一棟目	24	30	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		アパート一棟投資	アパート一棟買い投資の体験談｜メリットと注意点	物件選び
219	＋α	不動産投資 インカムゲイン	44	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
220	＋α	不動産投資 一棟アパート	N/A	70	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		アパート一棟投資	アパート一棟買い投資の体験談｜メリットと注意点	物件選び
221	＋α	不動産投資 売るタイミング	47	20	体験記事	Know（売却・出口戦略のリアルを知りたい）	体験談	売却・出口			売却・出口戦略	不動産投資の出口戦略｜売却タイミングの判断基準	大家の実務
222	＋α	不動産投資 宇都宮	39	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
223	＋α	不動産投資 売れない	33	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
224	＋α	不動産投資 運転資金	N/A	10	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
225	＋α	不動産投資 うまくいかない	28	10	体験記事	Know（成功事例を知りたい）	体験談	成功事例	◎		失敗体験	不動産投資の失敗談｜私が経験した失敗と教訓	失敗談・リアルな話
226	＋α	不動産投資 英語	N/A	210	削除			翻訳KW	◎				
227	＋α	不動産投資 営業	29	260	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
228	＋α	不動産投資 etf	N/A	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
229	＋α	不動産投資 営業 うざい	26	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
230	＋α	不動産投資 営業 しつこい	32	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
231	＋α	不動産投資 営業電話	28	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
232	＋α	不動産投資 エクセル	39	20	解説記事	Do（計算したい → ooya.techへ誘導）	ツール紹介	計算→ooya.tech誘導	◎		ツール紹介	不動産投資シミュレーションツール｜無料で使える計算ツール	ツール紹介
233	＋α	不動産投資 エスリード	38	140	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
234	＋α	不動産投資 エクセル テンプレート	28	40	解説記事	Do（計算したい → ooya.techへ誘導）	ツール紹介	計算→ooya.tech誘導	◎		ツール紹介	不動産投資シミュレーションツール｜無料で使える計算ツール	ツール紹介
235	＋α	不動産投資 エクセル シミュレーション	28	10	解説記事	Do（計算したい → ooya.techへ誘導）	ツール紹介	計算→ooya.tech誘導	◎		ツール紹介	不動産投資シミュレーションツール｜無料で使える計算ツール	ツール紹介
236	＋α	不動産投資 大阪	37	480	削除			地域KW	◎				
237	＋α	不動産投資 大手	29	90	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
238	＋α	不動産投資 沖縄	27	260	削除			地域KW	◎				
239	＋α	不動産投資 オーナーチェンジ	34	40	体験記事	Know（運営のリアルを知りたい）	体験談	管理・運営	◎		管理・運営	不動産投資の管理会社選び｜大家としての運営体験	大家の実務
240	＋α	不動産投資 おすすめ会社	52	210	解説記事	Buy（サービスを選びたい）	比較記事	おすすめ・比較			おすすめ会社	不動産投資会社おすすめランキング｜比較と選び方	勉強・情報収集
241	＋α	不動産投資 落とし穴	N/A	40	体験記事	Know（リスク・注意点を知りたい）	体験談	リスク・注意点	◎		リスク対策	不動産投資のリスク一覧と対策｜実体験から学ぶヘッジ策	失敗談・リアルな話
242	＋α	不動産投資 オルタナ	N/A	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
243	＋α	不動産投資 会社設立	30	110	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
244	＋α	不動産投資 借入	33	90	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン借入額	不動産投資ローンはいくらまで借りられる？シミュレーション付き	融資・ローン体験
245	＋α	不動産投資 火災保険	45	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
246	＋α	不動産投資 管理会社	32	70	体験記事	Know（運営のリアルを知りたい）	体験談	管理・運営	◎	要確認	管理・運営	不動産投資の管理会社選び｜大家としての運営体験	大家の実務
247	＋α	不動産投資 海外	43	1000	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
248	＋α	不動産投資 借り換え	54	70	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験			ローン融資全般	不動産投資の融資・審査事情｜通すためにやったこと	融資・ローン体験
249	＋α	不動産投資 金利	42	480	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験			ローン金利比較	不動産投資ローン金利比較ランキング｜低金利で借りるコツ	融資・ローン体験
250	＋α	不動産投資 キャッシュフロー	25	210	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		キャッシュフロー	不動産投資のキャッシュフロー計算｜月々いくら残る？	収支・利回り
251	＋α	不動産投資 金利上昇	32	140	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験	◎		ローン金利比較	不動産投資ローン金利比較ランキング｜低金利で借りるコツ	融資・ローン体験
252	＋α	不動産投資 金利 相場	46	40	体験記事	Know（ローン・融資のリアルを知りたい）	体験談	ローン・融資体験		要確認	ローン金利比較	不動産投資ローン金利比較ランキング｜低金利で借りるコツ	融資・ローン体験
253	＋α	不動産投資 キャンペーン	29	110	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
254	＋α	不動産投資 キャッシュフロー 目安	29	50	解説記事	Know（利回り・収支の実態を知りたい）	実践ガイド	利回り・収支	◎		キャッシュフロー	不動産投資のキャッシュフロー計算｜月々いくら残る？	収支・利回り
255	＋α	不動産投資 キャピタルゲイン	25	70	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
256	＋α	不動産投資 キャメル	41	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
257	＋α	不動産投資 企業	32	90	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
258	＋α	不動産投資 京都	36	260	削除			地域KW	◎				
259	＋α	不動産投資 クラウドファンディング	30	480	削除			REIT・CF（対象外）	◎				
260	＋α	不動産投資 繰り上げ返済	32	90	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
261	＋α	不動産投資 クーリングオフ	N/A	70	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
262	＋α	不動産投資 熊本	38	90	削除			地域KW	◎				
263	＋α	不動産投資 クリアル	50	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
264	＋α	不動産投資 クレジットカード	N/A	30	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
265	＋α	不動産投資 空室保証	23	30	体験記事	Know（運営のリアルを知りたい）	体験談	管理・運営	◎		管理・運営		大家の実務
266	＋α	不動産投資 空室リスク	27	40	体験記事	Know（リスク・注意点を知りたい）	体験談	リスク・注意点	◎		リスク対策	不動産投資のリスク一覧と対策｜実体験から学ぶヘッジ策	失敗談・リアルな話
267	＋α	不動産投資 口コミ	28	30	解説記事	Buy（サービスを選びたい）	比較記事	おすすめ・比較	◎		おすすめ会社	不動産投資会社おすすめランキング｜比較と選び方	勉強・情報収集
268	＋α	不動産投資 繰り上げ返済 シミュレーション	53	30	解説記事	Do（計算したい → ooya.techへ誘導）	ツール紹介	計算→ooya.tech誘導			ツール紹介	不動産投資シミュレーションツール｜無料で使える計算ツール	ツール紹介
269	＋α	不動産投資 経費	42	480	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金			経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
270	＋α	不動産投資 経費 いくらまで	30	170	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
271	＋α	不動産投資 経費 車	33	40	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
272	＋α	不動産投資 経費 パソコン	32	70	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
273	＋α	不動産投資 経費計上	47	30	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金			経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
274	＋α	不動産投資 経費にできるもの	N/A	30	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
275	＋α	不動産投資 経費 自宅家賃	33	50	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
276	＋α	不動産投資 経費 節税	48	40	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金			経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
277	＋α	不動産投資 経費 どこまで	48	50	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金			経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
278	＋α	不動産投資 経費 旅行	30	10	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金	◎		経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
279	＋α	不動産投資 公務員	26	1000	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎		サラリーマン向け	サラリーマン・公務員の不動産投資体験｜副業としての始め方	属性別の始め方
280	＋α	不動産投資 個人事業主	30	210	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
281	＋α	不動産投資 断り方	N/A	110	削除			勧誘・広告系	◎				
282	＋α	不動産投資 固定資産税	29	110	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
283	＋α	不動産投資 小口	31	590	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
284	＋α	不動産投資 個人	33	110	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
285	＋α	不動産投資 戸建て	39	210	体験記事	Know（物件選びの実体験を知りたい）	体験談	物件選び	◎		戸建て投資	戸建て不動産投資の始め方｜少額から始める方法	物件選び
286	＋α	不動産投資 今後	24	70	解説記事	Know（今後の見通しを知りたい）	解説記事	市場動向	◎		市場動向	不動産投資の今後｜市場動向と将来性を分析	始め方ガイド
287	＋α	不動産投資 控除	49	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説			基礎解説		基礎解説
288	＋α	不動産投資 固定資産税 経費	47	40	解説記事	Know（節税・税金の実務を知りたい）	実践ガイド	節税・税金			経費	不動産投資で経費にできるもの一覧｜実際の計上体験	税金・節税
289	＋α	不動産投資 サラリーマン	31	590	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別	◎		サラリーマン向け	サラリーマン・公務員の不動産投資体験｜副業としての始め方	属性別の始め方
290	＋α	不動産投資 札幌	36	320	削除			地域KW	◎				
291	＋α	不動産投資 サイト	29	260	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
292	＋α	不動産投資 サブリース	32	110	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
293	＋α	不動産投資 サブリースとは	47	30	解説記事	Know（基礎知識を知りたい）	解説記事	基礎解説			基礎解説		基礎解説
294	＋α	不動産投資 サラリーマン 節税	41	320	体験記事	Know（自分の属性で投資できるか知りたい）	体験談	属性・年収別			サラリーマン節税	サラリーマンの不動産投資節税術｜年収別シミュレーション	税金・節税
295	＋α	不動産投資 詐欺 逮捕	36	50	体験記事	Know（失敗・後悔のリアルを知りたい）	体験談	失敗・後悔談	◎		失敗体験	不動産投資の失敗談｜私が経験した失敗と教訓	失敗談・リアルな話
296	＋α	不動産投資 最強の教科書	23	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
297	＋α	不動産投資 サブリース デメリット	25	30	体験記事	Know（メリット・デメリットを知りたい）	体験談	メリデメ	◎	要確認	メリット・デメリット	不動産投資のメリット・デメリット｜向いている人の特徴	始め方ガイド
298	＋α	不動産投資 少額	33	720	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
299	＋α	不動産投資 シミュレーション	31	880	解説記事	Do（計算したい → ooya.techへ誘導）	ツール紹介	計算→ooya.tech誘導	◎		ツール紹介	不動産投資シミュレーションツール｜無料で使える計算ツール	ツール紹介
300	＋α	不動産投資 資格	27	320	解説記事	Know（不動産投資の勉強方法を知りたい）	まとめ記事	勉強・書籍	◎		勉強法	不動産投資の勉強方法｜おすすめセミナー・資格・学び方	勉強・情報収集
301	＋α	不動産投資 初期費用	28	320	体験記事	Know（必要な資金を知りたい）	体験談	必要資金	◎		必要資金	不動産投資の初期費用・必要資金｜予算別の投資プラン	収支・利回り
302	＋α	不動産投資 種類	31	320	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
303	＋α	不動産投資 仕組み	30	390	解説記事	Know（基礎知識を知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
304	＋α	不動産投資 スキーム	N/A	40	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
305	＋α	不動産投資 住む	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
306	＋α	不動産投資 スクール	25	70	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
307	＋α	不動産投資 スーモ	39	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
308	＋α	不動産投資 進め方	N/A	20	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
309	＋α	不動産投資 推移	N/A	10	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
310	＋α	不動産投資 住みながら	25	0	削除			検索なし	◎				
311	＋α	不動産投資 勧めてくる	N/A	0	削除			検索なし	◎				
312	＋α	不動産投資 すぐに売る	45	0	削除			検索なし					
313	＋α	不動産投資 スマホ 経費	N/A	0	削除			検索なし	◎				
314	＋α	不動産投資 セミナー	41	720	解説記事	Know（不動産投資の勉強方法を知りたい）	まとめ記事	勉強・書籍			勉強法	不動産投資の勉強方法｜おすすめセミナー・資格・学び方	勉強・情報収集
315	＋α	不動産投資 成功率	39	1000	体験記事	Know（成功事例を知りたい）	体験談	成功事例	◎		成功と現実	不動産投資は儲かる？成功率と儲かる人の特徴	始め方ガイド
316	＋α	不動産投資 仙台	26	110	削除			地域KW	◎				
317	＋α	不動産投資 成功例	31	70	体験記事	Know（成功事例を知りたい）	体験談	成功事例	◎		成功と現実	不動産投資は儲かる？成功率と儲かる人の特徴	始め方ガイド
318	＋α	不動産投資 相談	31	260	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
319	＋α	不動産投資 損益通算	32	90	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
320	＋α	不動産投資 相続	28	50	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
321	＋α	不動産投資 相続税対策	31	110	解説記事	Know（不動産投資について知りたい）	解説記事	基礎解説	◎		基礎解説		基礎解説
