No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	解決ニーズ	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
150	＋α	仲介手数料 4	42	10	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料「4」の意味（4%？4ヶ月？）を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
151	＋α	仲介手数料 4000万	40	0	削除				解説		検索なし			対象外	不要	
152	＋α	仲介手数料 400万円以下 計算	31	70	計算ページ	Do（正確な金額を計算したい）	自分の物件の仲介手数料を正確に計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
153	＋α	仲介手数料 450万円	N/A	0	削除				解説		検索なし			対象外	不要	
154	＋α	仲介手数料 400万円以下 改正	35	320	記事	Know（仲介手数料の改正内容を知りたい）	仲介手数料の法改正の内容を知りたい	法律・制度	解説	解説記事	法改正	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
155	＋α	仲介手数料 400万円以上	29	10	削除	Know（金額別の仲介手数料を知りたい）	物件価格400万円以上の場合の仲介手数料を計算したい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
156	＋α	仲介手数料 4万	N/A	0	削除				解説		検索なし			対象外	不要	
157	＋α	仲介手数料 4パーセント	N/A	10	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料のパーセンテージ（%）を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
158	＋α	仲介手数料 500万円以下	27	50	削除	Know（金額別の仲介手数料を知りたい）	物件価格500万円以下の場合の仲介手数料を計算したい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
159	＋α	仲介手数料 50パーセント	43	40	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料のパーセンテージ（%）を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
160	＋α	仲介手数料 50	41	30	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料が無料（0円）の不動産会社を探したい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
161	＋α	仲介手数料 500万円	28	10	削除	Know（金額別の仲介手数料を知りたい）	500万円の物件の仲介手数料がいくらか知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
162	＋α	仲介手数料 5000万	N/A	0	削除				解説		検索なし			対象外	不要	
163	＋α	仲介手数料 55	24	20	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料55%（0.55ヶ月分）の意味を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
164	＋α	仲介手数料 5	43	10	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料「5」の意味（5%？5ヶ月？）を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
165	＋α	仲介手数料 5万	31	0	削除				解説		検索なし			対象外	不要	
166	＋α	仲介手数料 5割	N/A	0	削除				解説		検索なし			対象外	不要	
167	＋α	仲介手数料 55パーセント	N/A	30	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料のパーセンテージ（%）を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
168	＋α	仲介手数料 6万とは	N/A	20	削除	Know（仲介手数料の仕組みを理解したい）	仲介手数料とは何か基本を理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
169	＋α	仲介手数料 6万円	23	70	記事	Know（金額別の仲介手数料を知りたい）	6万円の物件の仲介手数料がいくらか知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
170	＋α	仲介手数料 6パーセント	23	30	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料のパーセンテージ（%）を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
171	＋α	仲介手数料 600万円	26	0	削除				解説		検索なし			対象外	不要	
172	＋α	仲介手数料 6	N/A	20	削除	Know（仲介手数料の具体例を知りたい）	仲介手数料「6」の意味（6%？6ヶ月？）を知りたい	具体例	解説	ガイド記事	具体例・ケース	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
173	＋α	仲介手数料 6万円 なぜ	24	10	削除	Know（金額別の仲介手数料を知りたい）	特定の価格帯の仲介手数料を知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
174	＋α	仲介手数料 6万円 意味	20	10	削除	Know（仲介手数料の仕組みを理解したい）	仲介手数料の意味・定義を理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
175	＋α	仲介手数料 6万円 根拠	30	30	削除	Know（金額別の仲介手数料を知りたい）	仲介手数料「3%+6万円」の6万円の意味・根拠を知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
176	＋α	仲介手数料 7万	41	20	削除	Know（金額別の仲介手数料を知りたい）	7万円の物件の仲介手数料がいくらか知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
177	＋α	仲介手数料 700万円	23	0	削除				解説		検索なし			対象外	不要	
178	＋α	仲介手数料 700万以下	N/A	0	削除				解説		検索なし			対象外	不要	
179	＋α	仲介手数料 70万	N/A	0	削除				解説		検索なし			対象外	不要	
180	＋α	仲介手数料 7	N/A	0	削除				解説		検索なし			対象外	不要	
181	＋α	7000万 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
182	＋α	700万円以下 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
183	＋α	750万円 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
184	＋α	780万円 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
185	＋α	仲介手数料 800万円	N/A	0	削除				解説		検索なし			対象外	不要	
186	＋α	仲介手数料 8万	47	10	削除	Know（金額別の仲介手数料を知りたい）	8万円の物件の仲介手数料がいくらか知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
187	＋α	仲介手数料 800	N/A	0	削除				解説		検索なし			対象外	不要	
188	＋α	仲介手数料 800万以上	N/A	0	削除				解説		検索なし			対象外	不要	
189	＋α	仲介手数料 9万	27	0	削除				解説		検索なし			対象外	不要	
190	＋α	仲介手数料 9800円	22	10	削除	Know（仲介手数料がゼロ・不要のケースを知りたい）	仲介手数料ゼロ円の物件・会社を探したい	控除・特例	解説	解説記事	非課税・ゼロ	仲介手数料値引き	仲介手数料無料・安い不動産会社の仕組み｜からくりとデメリット	権威構築	補足	解説記事
191	＋α	仲介手数料 900万円	29	0	削除				解説		検索なし			対象外	不要	
192	＋α	仲介手数料 900万円以下	N/A	0	削除				解説		検索なし			対象外	不要	
193	＋α	仲介手数料 90	N/A	0	削除				解説		検索なし			対象外	不要	
194	＋α	仲介手数料 90万円	N/A	0	削除				解説		検索なし			対象外	不要	
195	＋α	980万円 仲介手数料	N/A	20	削除	Know（金額別の仲介手数料を知りたい）	特定の価格帯の仲介手数料を知りたい	金額別	解説	ガイド記事	金額別	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
196	＋α	9000万円 仲介手数料	25	0	削除				解説		検索なし			対象外	不要	
197	＋α	950万 仲介手数料	N/A	0	削除				解説		検索なし			対象外	不要	
198	＋α	仲介手数料 アパマンショップ	34	1900	削除	Know（アパマンの仲介手数料を知りたい）		特定企業	解説	ガイド記事	特定企業	仲介手数料_特定企業		権威構築	不要	
199	＋α	仲介手数料 アパート	35	210	記事	Know（不動産での仲介手数料を知りたい）	アパート賃貸の仲介手数料の相場を知りたい	その他	解説	解説記事	不動産特化	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	補足	解説記事
200	＋α	仲介手数料 ad	43	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料のAD（広告料）の仕組みを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
201	＋α	仲介手数料 空き家	22	40	削除	Know（空き家の仲介手数料を知りたい）	800万円以下の低廉な空き家の仲介手数料特例を知りたい	空き家	解説	解説記事	空き家	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
202	＋α	仲介手数料 相見積もり	26	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を相見積もりで比較する方法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
203	＋α	仲介手数料 按分	33	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の按分方法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
204	＋α	仲介手数料 ad 違い	29	10	削除	Know（仲介手数料のメリット・リスクを知りたい）	仲介手数料のAD（広告料）との違いを知りたい	比較・検討	解説	解説記事	比較・検討	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	補足	ピラーページ
205	＋α	仲介手数料 アパート 相場	27	210	記事	Know（いくら払うのか相場を知りたい）	仲介手数料の一般的な相場金額を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
206	＋α	仲介手数料 アエラス	N/A	0	削除				解説		検索なし			対象外	不要	
207	＋α	仲介手数料 預り金	N/A	0	削除				解説		検索なし			対象外	不要	
208	＋α	仲介手数料 いくら	30	320	記事	Know（いくら払うのか相場を知りたい）	仲介手数料の相場金額を確認したい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
209	＋α	仲介手数料 いつ払う	24	170	記事	Know（仲介手数料の時期を知りたい）	仲介手数料を払うタイミング（契約時？引渡時？）を確認したい	時期・スケジュール	解説	ガイド記事	時期・スケジュール	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	補足	解説記事
210	＋α	仲介手数料 印紙	29	90	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の領収書・契約書の印紙税を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_領収書書類	仲介手数料の領収書・請求書・契約書｜印紙税と書式を解説	権威構築	必須	解説記事
211	＋α	仲介手数料 一ヶ月	34	70	削除	Know（仲介手数料の概要を知りたい）	仲介手数料が家賃何ヶ月分か確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
212	＋α	仲介手数料 印紙代	N/A	70	削除	Know（仲介手数料の概要を知りたい）	仲介手数料にかかる印紙代の金額を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_領収書書類	仲介手数料の領収書・請求書・契約書｜印紙税と書式を解説	権威構築	必須	解説記事
213	＋α	仲介手数料 いくらまで	44	90	記事	Know（いくら払うのか相場を知りたい）	仲介手数料の相場金額を確認したい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
214	＋α	仲介手数料 意味	45	40	削除	Know（仲介手数料の仕組みを理解したい）	仲介手数料の意味・定義を理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
215	＋α	仲介手数料 違法	45	70	記事	Know（仲介手数料の法律を確認したい）	仲介手数料の法律を確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
216	＋α	仲介手数料 いくらくらい	44	20	削除	Know（いくら払うのか相場を知りたい）	仲介手数料の相場金額を確認したい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
217	＋α	仲介手数料 売主	28	170	記事	Know（仲介手数料の概要を知りたい）	売主側の仲介手数料の仕組みを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
218	＋α	仲介手数料 売り手 買い手	31	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の売り手・買い手の負担割合を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
219	＋α	仲介手数料 売上計上時期	22	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の計上時期を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
220	＋α	仲介手数料 内訳	44	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の内訳（何に使われているか）を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
221	＋α	仲介手数料 売主 買主	48	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料は売主と買主それぞれいくらか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
222	＋α	仲介手数料 上乗せ	N/A	0	削除				解説		検索なし			対象外	不要	
223	＋α	仲介手数料 うざい	N/A	0	削除				解説		検索なし			対象外	不要	
224	＋α	仲介手数料 売主 買主 両方	30	140	記事	Know（仲介手数料の概要を知りたい）	仲介手数料は売主・買主の両方が払うのか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_不動産売買	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
225	＋α	仲介手数料 売る側	44	0	削除				解説		検索なし			対象外	不要	
226	＋α	仲介手数料 受取手数料	33	0	削除				解説		検索なし			対象外	不要	
227	＋α	仲介手数料 英語	33	390	削除				解説		翻訳KW			対象外	不要	
228	＋α	仲介手数料 エイブル	34	1900	削除	Know（エイブルの仲介手数料を知りたい）		特定企業	解説	ガイド記事	特定企業	仲介手数料_特定企業		権威構築	不要	
229	＋α	仲介手数料 エリッツ	34	0	削除				解説		検索なし			対象外	不要	
230	＋α	仲介手数料 益金算入時期	22	0	削除				解説		検索なし			対象外	不要	
231	＋α	仲介手数料 オーナー負担	45	20	削除	Know（仲介手数料の概要を知りたい）	大家・オーナーが払う仲介手数料の仕組みを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
232	＋α	仲介手数料 抑える方法	N/A	10	削除	Do（仲介手数料の手続き・対策を知りたい）	仲介手数料を抑える具体的な方法を知りたい	手続き・対策	ハウツー	ハウツー記事	手続き・対策	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
233	＋α	仲介手数料 抑えたい	N/A	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料をできるだけ抑える方法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
234	＋α	仲介手数料 表	43	20	削除	Do（仲介手数料の書式を確認したい）	仲介手数料の価格帯別一覧表を見たい	書類・手続き	解説	ハウツー記事	書式	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	補足	ピラーページ
235	＋α	仲介手数料 オープンハウス	30	0	削除				解説		検索なし			対象外	不要	
236	＋α	仲介手数料 覚書	27	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料に関する覚書の作成方法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_領収書書類	仲介手数料の領収書・請求書・契約書｜印紙税と書式を解説	権威構築	必須	解説記事
237	＋α	仲介手数料 大家から	28	10	削除	Know（仲介手数料の概要を知りたい）	大家・オーナーが払う仲介手数料の仕組みを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
238	＋α	仲介手数料 オフィス	N/A	10	削除	Know（仲介手数料の概要を知りたい）	オフィス・事務所賃貸の仲介手数料を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
239	＋α	仲介手数料 覚書 印紙	N/A	0	削除				解説		検索なし			対象外	不要	
240	＋α	仲介手数料 大家負担	42	10	削除	Know（仲介手数料の概要を知りたい）	大家・オーナーが払う仲介手数料の仕組みを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
241	＋α	仲介手数料 科目	N/A	140	削除	Do（仲介手数料の会計処理を調べたい）	仲介手数料の会計処理を調べたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
242	＋α	仲介手数料 管理費含む	29	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料に共益費・管理費が含まれるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
243	＋α	仲介手数料 下限	45	90	削除	Know（仲介手数料の概要を知りたい）	仲介手数料に下限額があるか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
244	＋α	仲介手数料 かからない方法	46	70	記事	Do（仲介手数料の手続き・対策を知りたい）	仲介手数料がかからない取引方法を知りたい	手続き・対策	ハウツー	ハウツー記事	手続き・対策	仲介手数料_交渉ガイド	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	補足	ハウツー
245	＋α	仲介手数料 改正	22	170	記事	Know（仲介手数料の改正内容を知りたい）	仲介手数料の法改正の内容を知りたい	法律・制度	解説	解説記事	法改正	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
246	＋α	仲介手数料 改定	22	110	記事	Know（仲介手数料の改正内容を知りたい）	仲介手数料の法改正の内容を知りたい	法律・制度	解説	解説記事	法改正	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
247	＋α	仲介手数料 課税	46	50	削除	Know（仲介手数料の概要を知りたい）	仲介手数料が課税対象か非課税か確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料に消費税はかかる？土地・建物の計算方法	権威構築	必須	解説記事
248	＋α	仲介手数料 書いてない	N/A	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の記載がない場合の対処法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
249	＋α	仲介手数料 借主100	28	50	削除	Know（仲介手数料の概要を知りたい）	仲介手数料が無料（0円）の不動産会社を探したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
250	＋α	仲介手数料 共益費	25	110	記事	Know（仲介手数料の概要を知りたい）	仲介手数料に共益費・管理費が含まれるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料賃貸	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
251	＋α	仲介手数料 共益費含む	30	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料に共益費・管理費が含まれるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
252	＋α	仲介手数料 規定	31	30	削除	Know（法律上の上限ルールを確認したい）	法律上の上限ルールを確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
253	＋α	仲介手数料 決まり	30	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の決まり・規定を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
254	＋α	仲介手数料 記載なし	26	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の記載がない場合の対処法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
255	＋α	仲介手数料 キャンペーン	24	50	削除	Know（仲介手数料の概要を知りたい）	仲介手数料キャンペーン（割引）を実施している会社を探したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
256	＋α	仲介手数料 共益費込み	N/A	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料に共益費・管理費が含まれるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
257	＋α	仲介手数料 キャッシュバック	19	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料のキャッシュバックがある会社を探したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
258	＋α	仲介手数料 金額別	N/A	0	削除				解説		検索なし			対象外	不要	
259	＋α	仲介手数料 拒否	44	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の支払いを拒否できるケースを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
260	＋α	仲介手数料 繰延資産	28	90	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を繰延資産として処理すべきか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
261	＋α	仲介手数料 クレジットカード	27	30	削除	Do（仲介手数料の電子手続き・支払方法を知りたい）	仲介手数料をクレジットカードで支払えるか知りたい	手続き・対策	ハウツー	ガイド記事	支払い方法	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	補足	解説記事
262	＋α	仲介手数料 クレジット払い	N/A	0	削除				解説		検索なし			対象外	不要	
263	＋α	仲介手数料 クレーム	32	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料に関するクレーム・苦情の対処法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
264	＋α	仲介手数料 車	22	0	削除				解説		検索なし			対象外	不要	
265	＋α	仲介手数料 区分	50	0	削除				解説		検索なし			対象外	不要	
266	＋α	仲介手数料 繰延	N/A	0	削除				解説		検索なし			対象外	不要	
267	＋α	仲介手数料 クーポン	N/A	0	削除				解説		検索なし			対象外	不要	
268	＋α	仲介手数料 クーリングオフ	25	0	削除				解説		検索なし			対象外	不要	
269	＋α	仲介手数料 クリーニング代	30	0	削除				解説		検索なし			対象外	不要	
270	＋α	仲介手数料 経費	28	140	削除	Do（仕訳・勘定科目を調べたい）	仲介手数料を経費として処理する方法を知りたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
271	＋α	仲介手数料 契約書	47	50	削除	Know（仲介手数料の概要を知りたい）	契約書における仲介手数料の記載内容・確認ポイントを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_領収書書類	仲介手数料の領収書・請求書・契約書｜印紙税と書式を解説	権威構築	必須	解説記事
272	＋α	仲介手数料 計上時期	24	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の計上時期を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
273	＋α	仲介手数料 経費 個人事業主	53	50	削除	Do（仕訳・勘定科目を調べたい）	仲介手数料を経費として処理する方法を知りたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
274	＋α	仲介手数料 戸建て	40	70	記事	Know（不動産取引の手数料を知りたい）	戸建て売買の仲介手数料を知りたい	住宅タイプ別	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	補足	解説記事
275	＋α	仲介手数料 国土交通省	44	50	削除	Know（仲介手数料の概要を知りたい）	国交省が定める仲介手数料の基準を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
276	＋α	仲介手数料 購入	48	40	削除	Know（仲介手数料の概要を知りたい）	不動産購入時の仲介手数料を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
277	＋α	仲介手数料 固定資産	30	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を固定資産に含めるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
