No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
195	＋α	不動産投資 利回り 7	N/A	10	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
196	＋α	7000万 不動産投資	N/A	0	削除			解説		検索なし			対象外	不要
197	＋α	70歳 不動産投資	33	0	削除			解説		検索なし			対象外	不要
198	＋α	不動産投資 8	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
199	＋α	不動産投資 800万	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
200	＋α	不動産投資 利回り 8	44	10	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
201	＋α	8000万円 不動産投資	N/A	0	削除			解説		検索なし			対象外	不要
202	＋α	9gates 不動産投資	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
203	＋α	不動産投資 アプリ	32	210	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
204	＋α	不動産投資 アパート	40	320	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
205	＋α	不動産投資 青色申告	42	110	記事	Do（不動産投資の申告をしたい）	その他	解説	ハウツー記事	申告・届出	不動産投資申告		権威構築	補足
206	＋α	不動産投資 頭金	39	140	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
207	＋α	不動産投資 amazonギフト券	23	210	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
208	＋α	不動産投資 アパート経営	N/A	70	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
209	＋α	不動産投資 ai	43	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
210	＋α	不動産投資 赤字 節税	33	30	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
211	＋α	不動産投資 赤字	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
212	＋α	不動産投資 青色申告 サラリーマン	49	30	記事	Know（年収別の投資戦略を知りたい）	その他	解説	ガイド記事	年収別	不動産投資申告		権威構築	補足
213	＋α	不動産投資 いくらから	33	390	記事	Know（不動産投資の金額・相場を知りたい）	計算方法	データ一覧	ガイド記事	相場ガイド	不動産投資計算	不動産投資の計算方法・シミュレーション	権威構築	必須	計算ツール
214	＋α	不動産投資 いくら必要	48	90	記事	Know（不動産投資の金額・相場を知りたい）	計算方法	データ一覧	ガイド記事	相場ガイド	不動産投資計算	不動産投資の計算方法・シミュレーション	権威構築	必須	計算ツール
215	＋α	不動産投資 いくら儲かる	32	70	記事	Know（不動産投資の金額・相場を知りたい）	計算方法	データ一覧	ガイド記事	相場ガイド	不動産投資計算	不動産投資の計算方法・シミュレーション	権威構築	必須	計算ツール
216	＋α	不動産投資 一棟買い	N/A	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
217	＋α	不動産投資 一棟	36	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
218	＋α	不動産投資 irr 目安	24	40	記事	Know（不動産投資の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	不動産投資_相場ガイド		権威構築	補足
219	＋α	不動産投資 一軒家	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
220	＋α	不動産投資 いくらから始められる	N/A	20	記事	Know（不動産投資の金額・相場を知りたい）	計算方法	データ一覧	ガイド記事	相場ガイド	不動産投資計算	不動産投資の計算方法・シミュレーション	権威構築	必須	計算ツール
221	＋α	不動産投資 一棟目	24	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
222	＋α	不動産投資 売るタイミング	47	20	記事	Know（不動産投資の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	不動産投資_時期・スケジュール		権威構築	補足
223	＋α	不動産投資 売り時	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
224	＋α	不動産投資 宇都宮	39	50	削除			解説		地域KW			対象外	不要
225	＋α	不動産投資 売れない	33	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
226	＋α	不動産投資 運転資金	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
227	＋α	不動産投資 うまくいかない	28	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
228	＋α	不動産投資 英語	N/A	210	削除			解説		翻訳KW			対象外	不要
229	＋α	不動産投資 営業	29	260	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
230	＋α	不動産投資 etf	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
231	＋α	不動産投資 営業 うざい	26	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
232	＋α	不動産投資 営業 しつこい	32	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
233	＋α	不動産投資 営業電話	28	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
234	＋α	不動産投資 エクセル	39	20	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
235	＋α	不動産投資 エスリード	38	140	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
236	＋α	不動産投資 エクセル テンプレート	28	40	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
237	＋α	不動産投資 エクセル シミュレーション	28	10	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
238	＋α	不動産投資 大阪	37	480	削除			解説		地域KW			対象外	不要
239	＋α	不動産投資 大手	29	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
240	＋α	不動産投資 沖縄	27	260	削除			解説		地域KW			対象外	不要
241	＋α	不動産投資 オーナーチェンジ	34	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
242	＋α	不動産投資 落とし穴	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
243	＋α	不動産投資 オルタナ	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
244	＋α	不動産投資 会社設立	30	110	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
245	＋α	不動産投資 借入	33	90	記事	Know（不動産投資ローンを知りたい）	その他	解説	解説記事	ローン	不動産投資_ローン	不動産投資とローンの関係・活用法	権威構築	必須	解説記事
246	＋α	不動産投資 火災保険	45	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
247	＋α	不動産投資 管理会社	32	70	記事	Buy（不動産投資会社を選びたい）	比較・検討	比較・解説	比較記事	おすすめ比較	不動産投資_おすすめ比較		権威構築	補足
248	＋α	不動産投資 海外	43	1000	記事	Know（海外の不動産投資を知りたい）	その他	解説	解説記事	海外	不動産投資_海外		権威構築	補足
249	＋α	不動産投資 借り換え	54	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
250	＋α	不動産投資 金利	42	480	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
251	＋α	不動産投資 キャッシュフロー	25	210	記事	Know（CFを知りたい）	その他	解説	解説記事	キャッシュフロー	不動産投資_キャッシュフロー		権威構築	補足
252	＋α	不動産投資 金利上昇	32	140	記事	Know（不動産投資が上がる理由を知りたい）	その他	解説	解説記事	値上がり・変動	不動産投資_値上がり・変動		権威構築	補足
253	＋α	不動産投資 金利 相場	46	40	記事	Know（不動産投資の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	不動産投資_相場ガイド		権威構築	補足
254	＋α	不動産投資 キャンペーン	29	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
255	＋α	不動産投資 キャッシュフロー 目安	29	50	記事	Know（CFを知りたい）	その他	解説	解説記事	キャッシュフロー	不動産投資_キャッシュフロー		権威構築	補足
256	＋α	不動産投資 キャピタルゲイン	25	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
257	＋α	不動産投資 キャメル	41	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
258	＋α	不動産投資 企業	32	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
259	＋α	不動産投資 京都	36	260	削除			解説		地域KW			対象外	不要
260	＋α	不動産投資 クラウドファンディング	30	480	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
261	＋α	不動産投資 繰り上げ返済	32	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
262	＋α	不動産投資 クーリングオフ	N/A	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
263	＋α	不動産投資 熊本	38	90	削除			解説		地域KW			対象外	不要
264	＋α	不動産投資 クリアル	50	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
265	＋α	不動産投資 クレジットカード	N/A	30	記事	Do（不動産投資の電子手続き・支払方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	不動産投資_支払い方法		権威構築	補足
266	＋α	不動産投資 空室保証	23	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
267	＋α	不動産投資 空室リスク	27	40	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
268	＋α	不動産投資 口コミ	28	30	記事	Buy（不動産投資関連のサービスを選びたい）	比較・検討	比較・解説	比較記事	おすすめ・比較	不動産投資_おすすめ・比較		権威構築	補足
269	＋α	不動産投資 繰り上げ返済 シミュレーション	53	30	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
270	＋α	不動産投資 経費	42	480	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
271	＋α	不動産投資 経費 いくらまで	30	170	記事	Know（減価償却・経費を知りたい）	計算方法	解説	解説記事	会計・経費	不動産投資計算	不動産投資の計算方法・シミュレーション	権威構築	必須	計算ツール
272	＋α	不動産投資 経費 車	33	40	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
273	＋α	不動産投資 経費 パソコン	32	70	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
274	＋α	不動産投資 経費計上	47	30	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
275	＋α	不動産投資 経費にできるもの	N/A	30	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
276	＋α	不動産投資 経費 自宅家賃	33	50	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
277	＋α	不動産投資 経費 節税	48	40	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
278	＋α	不動産投資 経費 どこまで	48	50	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
279	＋α	不動産投資 経費 旅行	30	10	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
280	＋α	不動産投資 公務員	26	1000	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
281	＋α	不動産投資 個人事業主	30	210	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
282	＋α	不動産投資 断り方	N/A	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
283	＋α	不動産投資 固定資産税	29	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
284	＋α	不動産投資 小口	31	590	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
285	＋α	不動産投資 個人	33	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
286	＋α	不動産投資 戸建て	39	210	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
287	＋α	不動産投資 今後	24	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
288	＋α	不動産投資 控除	49	40	記事	Know（不動産投資の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	不動産投資控除		権威構築	補足
289	＋α	不動産投資 固定資産税 経費	47	40	記事	Know（減価償却・経費を知りたい）	会計処理	解説	解説記事	会計・経費	不動産投資_会計・経費		権威構築	補足
290	＋α	不動産投資 サラリーマン	31	590	記事	Know（年収別の投資戦略を知りたい）	その他	解説	ガイド記事	年収別	不動産投資_年収別		権威構築	補足
291	＋α	不動産投資 札幌	36	320	削除			解説		地域KW			対象外	不要
292	＋α	不動産投資 サイト	29	260	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
293	＋α	不動産投資 サブリース	32	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
294	＋α	不動産投資 サブリースとは	47	30	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
295	＋α	不動産投資 サラリーマン 節税	41	320	記事	Know（不動産投資の税金を知りたい）	その他	解説	解説記事	税金・節税	不動産投資_税金・節税		権威構築	補足
296	＋α	不動産投資 詐欺 逮捕	36	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
297	＋α	不動産投資 最強の教科書	23	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
298	＋α	不動産投資 サブリース デメリット	25	30	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
299	＋α	不動産投資 少額	33	720	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
300	＋α	不動産投資 シミュレーション	31	880	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
301	＋α	不動産投資 資格	27	320	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
302	＋α	不動産投資 初期費用	28	320	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
303	＋α	不動産投資 種類	31	320	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
304	＋α	不動産投資 仕組み	30	390	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資_基礎解説		権威構築	補足
305	＋α	不動産投資 スキーム	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
306	＋α	不動産投資 住む	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
307	＋α	不動産投資 スクール	25	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
308	＋α	不動産投資 スーモ	39	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
309	＋α	不動産投資 進め方	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
310	＋α	不動産投資 推移	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
311	＋α	不動産投資 住みながら	25	0	削除			解説		検索なし			対象外	不要
312	＋α	不動産投資 勧めてくる	N/A	0	削除			解説		検索なし			対象外	不要
313	＋α	不動産投資 すぐに売る	45	0	削除			解説		検索なし			対象外	不要
314	＋α	不動産投資 スマホ 経費	N/A	0	削除			解説		検索なし			対象外	不要
315	＋α	不動産投資 セミナー	41	720	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
316	＋α	不動産投資 成功率	39	1000	記事	Know（不動産での不動産投資を知りたい）	税金	解説	解説記事	不動産特化	不動産投資税率		権威構築	補足
317	＋α	不動産投資 仙台	26	110	削除			解説		地域KW			対象外	不要
318	＋α	不動産投資 成功例	31	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
319	＋α	不動産投資 相談	31	260	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
320	＋α	不動産投資 損益通算	32	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
321	＋α	不動産投資 相続	28	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
322	＋α	不動産投資 相続税対策	31	110	記事	Do（不動産投資の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	不動産投資_手続き・対策		権威構築	補足
323	＋α	不動産投資 相続対策	30	40	記事	Do（不動産投資の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	不動産投資_手続き・対策		権威構築	補足
324	＋α	不動産投資 損益分岐点	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
325	＋α	不動産投資 相談先	33	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
326	＋α	不動産投資 損する	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
327	＋α	不動産投資 想定利回り	N/A	10	記事	Know（不動産投資の利回りを知りたい）	その他	解説	解説記事	利回り	不動産投資_利回り	不動産投資と利回りの関係・目安を解説	権威構築	必須	解説記事
328	＋α	不動産投資 訴訟	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
329	＋α	不動産投資 宅建	27	260	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
330	＋α	不動産投資 tapp	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
331	＋α	不動産投資 タイミング	28	20	記事	Know（不動産投資の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	不動産投資_時期・スケジュール		権威構築	補足
332	＋α	不動産投資 滝島	26	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
333	＋α	不動産投資 宅建士	26	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
334	＋α	不動産投資 逮捕	N/A	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
335	＋α	不動産投資 タワマン	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
336	＋α	不動産投資 短期	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
337	＋α	不動産投資 大家	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
338	＋α	不動産投資 田中	N/A	0	削除			解説		検索なし			対象外	不要
339	＋α	不動産投資 小さく始める	31	210	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
340	＋α	不動産投資 駐車場	30	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
341	＋α	不動産投資 中古マンション	N/A	70	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
342	＋α	不動産投資 中古戸建	N/A	40	記事	Know（物件タイプ別の投資を知りたい）	その他	解説	ガイド記事	物件タイプ別	不動産投資_物件タイプ別		権威構築	補足
343	＋α	不動産投資 注意点	N/A	70	記事	Know（不動産投資のメリット・リスクを知りたい）	比較・検討	解説	解説記事	比較・検討	不動産投資_比較・検討		権威構築	補足
344	＋α	不動産投資 地方	29	110	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
